"1","c++","540","639897"
"2","c","502","314029"
"3","cryptography","11130","0"
"4","public-key-encryption","304","1540"
"5","c#","1807","1356085"
"7","hash","676","21057"
"8","pbkdf2","71","325"
"9","java","2293","1603277"
"10","random","249","26992"
"14","pkcs#11","83","589"
"15","security","1015","48242"
"17","p2p","5","1687"
"18","trust","2","162"
"19","xml","49","187591"
"21","windows-phone-7","10","19859"
"22","encryption","3535","29737"
"25","database","35","160320"
"27","passwords","180","9112"
"28","ios","236","612547"
"29","string","62","144607"
"32","heroku","4","32383"
"34","entropy","26","472"
"35","authentication","119","60388"
"37","openid","3","3206"
"44","aes","1033","5474"
"48",".net","633","288888"
"49","vb.net","96","126773"
"51","rsa","1064","5181"
"52","php","625","1314668"
"55","certificate","134","8391"
"56","private-key","120","1166"
"67","big-o","2","0"
"68","des","107","571"
"71","linux","97","181109"
"74","interop","11","5213"
"76","c++-cli","6","0"
"77","type-conversion","5","0"
"79","saltedhash","7","0"
"80","rainbowattack","3","0"
"85","bouncycastle","437","2422"
"90","openssl","649","11998"
"92","visual-c++","17","27533"
"94","crypto++","109","628"
"97","digital-signature","318","2591"
"98","pycrypto","117","755"
"99","rsacryptoserviceprovider","53","185"
"101","dcpu-16","1","0"
"102","stream-cipher","11","29"
"109","amazon-s3","9","0"
"111","checksum","15","1490"
"112","objective-c","121","288654"
"116","udp","7","0"
"117","md5","195","3572"
"118","cisco","2","0"
"120","cookies","12","28722"
"122","javascript","615","1894320"
"124","x509","77","1498"
"125","pki","44","621"
"130","node.js","525","297283"
"135","3des","57","309"
"139","ssl","220","39974"
"140","elliptic-curve","206","503"
"144","cryptoapi","140","510"
"145","iphone","57","220050"
"151","smartcard","72","1603"
"165","e-token","2","0"
"168","linux-kernel","31","13890"
"169","kernel-module","3","0"
"178","privacy","6","0"
"179","voting","1","0"
"188","mcrypt","43","884"
"190","asp.net","151","350358"
"196","cryptanalysis","22","37"
"208","hmac","149","1063"
"212","vigenere","26","308"
"220","signing","35","862"
"224","xor","56","1308"
"225","brute-force","23","777"
"226","delphi","34","44666"
"227","winapi","59","34642"
"230","pkcs#12","22","364"
"235","key-management","11","69"
"250","express","10","0"
"252","php-5.3","2","0"
"253","password-protection","31","1490"
"254","bcrypt","49","1568"
"258","asp-classic","8","0"
"260","rijndael","61","392"
"261","initialization-vector","28","109"
"266","assembly","9","0"
"274","credit-card","6","0"
"278","xml-signature","18","355"
"279","signedxml","7","0"
"282","salt","78","1041"
"283","dictionary-attack","3","0"
"292","mysql","69","576295"
"295","cryptographic-hash-function","57","94"
"298","cc-mode","1","0"
"300","winforms","14","86617"
"305","memory","8","0"
"306","windows-7","4","0"
"314","ssl-certificate","44","7447"
"322","kernel","14","7698"
"332","sha","96","1031"
"337","xcode","11","136009"
"338","encoding","87","20533"
"340","python","906","1276848"
"345","hash-function","14","208"
"349","exception","28","34455"
"351","itext","12","8189"
"360","padding","44","3104"
"365","ecb","11","104"
"371","windows","118","134107"
"374","x509certificate","106","2444"
"382","fips","30","311"
"383","nonce","13","211"
"385","firefox","5","0"
"387","nss","11","165"
"391","seed","3","0"
"392","prng","21","238"
"398","ldap","3","0"
"399","client-server","9","0"
"400","windows-server-2003","3","0"
"402","oracle","14","115347"
"403","character-encoding","16","13308"
"413","asp.net-membership","2","0"
"415","web-config","3","0"
"423","symbian","2","0"
"424","s60-3rd-edition","1","0"
"429","iso8583","3","0"
"431","android","473","1230798"
"433","browser","13","22553"
"439","cng","66","172"
"446","mfc","3","0"
"450","registry","2","0"
"464","polynomial-math","4","0"
"465","inverse","3","0"
"466","ntruencrypt","6","0"
"473","membership-provider","2","0"
"497","c#-2.0","4","0"
"498","rijndaelmanaged","51","242"
"501","utf-16le","1","0"
"522","gnupg","46","1324"
"529","pgp","38","636"
"530","openpgp","19","258"
"533","multiplication","4","0"
"534","aes-gcm","54","195"
"535","galois-field","4","0"
"537","ubuntu","13","46448"
"540","truecrypt","2","0"
"554","api","33","70804"
"561","public-key","84","861"
"570","pkcs#7","68","409"
"576","junit","6","0"
"582","code-signing","15","2103"
"590","coldfusion","10","0"
"593","vb6","11","10046"
"598","decompiling","4","0"
"601","obfuscation","14","2568"
"623","embedded","15","7786"
"629","tripledes","47","230"
"635","web-services","28","59311"
"639","mono","15","9564"
"644","algorithm","238","94406"
"649","encryption-asymmetric","94","446"
"650","encryption-symmetric","102","570"
"654","ruby","91","208536"
"662","html5","12","119142"
"664","local-storage","1","0"
"665","offline","1","0"
"669","keytool","23","1082"
"673","jce","76","431"
"685","primality-test","2","0"
"702","ssh","22","22521"
"708","hardware","8","0"
"709","verilog","3","0"
"710","xilinx","2","0"
"726","ascii-art","1","0"
"729","key","62","7281"
"733","resharper","1","0"
"734","optional-parameters","1","0"
"735","named-parameters","1","0"
"745","sha1","113","1581"
"754","arithmeticexception","1","0"
"763","asn.1","31","553"
"786","perl","26","63596"
"790","password-encryption","38","969"
"796","types","4","0"
"799","public","6","0"
"803","application-pool","1","0"
"849","keystore","66","2191"
"855","block-cipher","34","106"
"860","oop","3","0"
"861","templates","2","0"
"862","pointers","5","0"
"876","digital-certificate","24","499"
"885","dsa","25","176"
"893","m2crypto","24","261"
"894","pyopenssl","17","375"
"906","cross-platform","5","0"
"913","scrypt","22","113"
"931","sjcl","22","69"
"941","biginteger","40","1657"
"952","sockets","29","56876"
"960","key-generator","15","83"
"968","language-agnostic","18","7936"
"1005","loops","5","0"
"1007","frequency","1","0"
"1016","sql","16","513555"
"1028","javacard","45","842"
"1040","implementation","3","0"
"1052","cryptojs","124","857"
"1057","dkim","1","0"
"1062","math","93","33615"
"1067","java1.4","2","0"
"1068","human-readable","1","0"
"1073","cakephp","3","0"
"1076","qt","27","72707"
"1078","kde","1","0"
"1079","file","23","66136"
"1082","qthread","1","0"
"1083","qprogressbar","1","0"
"1087","sign","26","1039"
"1089","servlets","4","0"
"1096","large-files","1","0"
"1097","on-the-fly","1","0"
"1107","configuration","6","0"
"1116","elgamal","23","58"
"1123","ado.net","1","0"
"1136","macos","44","94766"
"1154","truststore","3","0"
"1160","diffie-hellman","99","328"
"1189","azure","22","77767"
"1194","jvm","11","10082"
